Country,Award,MinPriceUSD,MaxPriceUSD
Denmark,1 MICHELIN Star,155.46421052631578,240.19
Sweden,1 MICHELIN Star,119.96625,162.805
Switzerland,1 MICHELIN Star,105.20448275862068,193.44632183908047
Portugal,1 MICHELIN Star,98.4688,144.2608
Germany,1 MICHELIN Star,97.26970149253731,146.25514925373133
Austria,1 MICHELIN Star,94.70272727272727,142.2809090909091
Italy,1 MICHELIN Star,92.76476780185759,135.47479876160992
United Kingdom,1 MICHELIN Star,82.32425675675675,123.3375
Spain,1 MICHELIN Star,75.14335227272727,114.23897727272727
France,1 MICHELIN Star,69.38671179883946,137.2523404255319
Netherlands,1 MICHELIN Star,66.17483870967742,127.65827956989247
Belgium,1 MICHELIN Star,60.65296296296296,126.98657407407407
Denmark,2 MICHELIN Stars,305.65875,321.13125
Sweden,2 MICHELIN Stars,249.6975,249.6975
Switzerland,2 MICHELIN Stars,194.96857142857144,296.7761904761905
United Kingdom,2 MICHELIN Stars,171.14277777777778,228.05833333333334
Portugal,2 MICHELIN Stars,161.78,200.97333333333333
Germany,2 MICHELIN Stars,159.3551111111111,222.4891111111111
Italy,2 MICHELIN Stars,139.75578947368422,205.80157894736843
Spain,2 MICHELIN Stars,136.43937499999998,180.65812499999998
France,2 MICHELIN Stars,124.73648648648648,235.84027027027028
Austria,2 MICHELIN Stars,120.25,185.79666666666665
Belgium,2 MICHELIN Stars,109.57727272727273,216.515
Netherlands,2 MICHELIN Stars,99.97428571428571,192.9447619047619
Denmark,3 MICHELIN Stars,417.075,417.075
Sweden,3 MICHELIN Stars,397.62,397.62
Austria,3 MICHELIN Stars,265.19,265.19
France,3 MICHELIN Stars,233.38870967741934,358.38032258064516
Spain,3 MICHELIN Stars,231.7972727272727,276.1
Switzerland,3 MICHELIN Stars,224.87,354.6
Italy,3 MICHELIN Stars,222.88090909090909,288.38363636363636
Germany,3 MICHELIN Stars,211.14777777777778,268.6322222222222
Netherlands,3 MICHELIN Stars,198.64,306.215
Belgium,3 MICHELIN Stars,188.13333333333333,300.21000000000004
United Kingdom,3 MICHELIN Stars,184.1075,274.75375
Austria,All,112.69,163.61444444444444
Belgium,All,71.6212030075188,145.7030827067669
Denmark,All,214.9393103448276,274.71758620689656
France,All,84.14546623794212,160.00229903536976
Germany,All,109.12916149068323,160.3294409937888
Italy,All,101.41244623655913,147.18021505376345
Netherlands,All,74.57758620689656,142.55594827586208
Portugal,All,110.72258064516129,155.23741935483872
Spain,All,91.9683105022831,132.07406392694062
Sweden,All,157.89857142857144,190.53761904761905
Switzerland,All,125.42108108108108,217.35072072072072
United Kingdom,All,96.19206896551724,141.13235632183907
